公司名称,岗位,所属岗位,薪资,平均薪资（千/月）,地址,所属城区,经度,纬度
武汉汇博天下科技有限公司,物流专员/助理,物流专员,4.5-6千/月,5.25,华兴道,河东区,117.223728,39.147671
武汉汇博天下科技有限公司,物流专员+双休,物流专员,4.5-6千/月,5.25,华兴道,河东区,117.223728,39.147671
武汉汇博天下科技有限公司,物流专员 高薪,物流专员,4.5-6千/月,5.25,华兴道,河东区,117.223728,39.147671
武汉汇博天下科技有限公司,物流专员（内编+年终奖+五险一金+轻松5K）,物流专员,4.5-6千/月,5.25,荣业大街,和平区,117.191333,39.136506
天津荣达物流有限公司广州分公司,车队长,调度员,4.5-7千/月,5.75,滨海新区第一大街博润家园7-2-101,滨海新区,117.723985,39.021745
美菜网,运输管理主管,运输主管,4.5-6千/月,5.25,苏州市吴江区中山北路2501号（苏州美菜一仓）,吴江区,120.65465,31.209747
海斯坦普汽车组件（天津）有限公司,物料计划员 Material Planner,调度员,4.5-6千/月,5.25,开源道22号,红桥区,117.065226,39.405467
天津斯坦雷电气有限公司,营业担当,物流专员,4-4.5千/月,4.25,经济技术开发区南海路140号,滨海新区,117.71361,39.053181
天津宜家家居有限公司,销售及供应支持专员,物流专员,5-7千/月,6,津塘公路433号（轻轨9号线东丽开发区站旁）,东丽区,117.685607,39.035405
中联信达（天津）科技发展有限公司,物料配送员,物流专员,3-5千/月,4,九园工业园区北环路9号,宝坻区,117.442932,39.452602
北京因泰立科技有限公司,库房管理专员,物流专员,2-4千/月,3,兴华道与兴华三支路交口东北侧100米E座厂房E2-201室,西青区,,
天津世尊进出口贸易有限公司,供应链专员,供应链专员,4.5-6千/月,5.25,滨海新区,滨海新区,117.717131,39.009456
北京普罗格科技股份有限公司,上架组组长,物流专员,4-5千/月,4.5,天津市武清区京滨工业园菜鸟网络4号库,武清区,116.796014,39.55822
利星行机械有限公司 Lei Shing Hong Machinery,物流经理,物流经理,6-8千/月,7,天津市,河北区,117.20952,39.093669
天津德泰腾达进出口有限公司,物料专员,物料专员,3.5-4.5千/月,4,合肥道,河西区,117.224993,39.119909
上海艾杰飞人力资源有限公司,日企仓管经理(编号106783),物流经理,7.7-9.7千/月,8.7,天津,河北区,117.205914,39.090908
禧天龙科技发展有限公司,供应链实习生,物流专员,2-3千/月,2.5,天津滨海高新区风光大道12号,东丽区,117.517777,39.113883
谷山企业管理咨询（天津）有限公司,车辆调度主管,运输主管,6-7千/月,6.5,新港,滨海新区,117.750928,38.992273
天津丰田物流有限公司,经营统括担当,物流专员,3-4.5千/月,3.75,经济技术开发区第11大街15号,滨海新区,117.713388,39.077761
企事通集团有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市津南区北闸口镇天乐创新产业园,津南区,117.421985,38.954515
天狮集团有限公司,需求计划主管(J10570),物流主管,6-8千/月,7,天津市武清开发区新源道18号天狮国际健康产业园,武清区,117.02486,39.437302
天津市捷士通科技有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,中关村可信产业园,北辰区,117.125596,39.285478
天津华海清科机电科技有限公司,领料员,物流专员,4.5-6千/月,5.25,天津市津南区海河科技园聚兴道9号 8号楼,津南区,117.420801,38.98263
利丰供应链管理（中国）有限公司,仓库系统文员,物流专员,4.5-6千/月,5.25,天津市西青区经济技术开发区天源道11号普菱物流园,西青区,,
天津东一韬鸿智能控制装备有限公司,仓库管理员,仓库管理员,4-6千/月,5,无瑕工业园A区18号,东丽区,117.525237,39.045183
天津安通林汽车饰件有限公司,物料计划员,物流专员,4.5-6千/月,5.25,天津市武清区汽车产业园云景道2号,武清区,117.258526,39.38482
嘉里大通物流有限公司天津分公司,项目运输经理,运输经理,6-8千/月,7,卫国道204号高等教育出版社院内,东丽区,,
武汉鑫麟杰商贸有限公司,供应链专员,供应链专员,4.5-6千/月,5.25,和平区,和平区,117.221467,39.12339
天津信和天成科技有限公司,物料管理人员（五险一金）,物流专员,4.5-6千/月,5.25,天津-河东区,河东区,117.258413,39.134487
天津英创汇智汽车技术有限公司,物料运营工程师,物流专员,4-7千/月,5.5,汽车产业园,河北区,117.205745,39.385633
北京丽阳虹科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,五经路16号8号楼3层,河北区,117.208826,39.139848
蓝沛科技（天津）有限公司,供应链专员,仓库管理员,4.5-6千/月,5.25,武清开发区卧龙潭别墅,武清区,117.069832,39.403786
北京超思电子技术有限责任公司,仓库管理员,仓库管理员,2-4千/月,3,开发区源泉路17号红日技术转化中心,河北区,117.076433,39.405037
施耐德万高（天津）电气设备有限公司,物流专员,物流专员,7-9千/月,8,天津滨海高新区华苑产业区(环外)海泰创新六路11号,西青区,117.076324,39.089108
天津海铁联捷国际物流有限公司,营运分析主管/经理,物流经理,4.5-6千/月,5.25,天津市和平区兴安路环球金融中心1613室,和平区,117.198891,39.13951
天津奥尔森物流有限公司,调度主管,运输主管,4.5-6千/月,5.25,天津市大港区大港炼油厂北侧200米,滨海新区,,
埃克森（天津）实业集团有限公司,仓库管理员,仓库管理员,4-6千/月,5,天津市武清区崔黄口镇电子商务产业园兴广路1号,武清区,117.169976,39.527598
天津市科远锦成科技有限公司,库管,仓库管理员,3-4.5千/月,3.75,小淀镇景祥路15号温鑫工业园内,北辰区,117.280048,39.231373
法国迪卡侬集团,Supply Chain Production Leader生产供应链主管(职位编号：Decathlon002121),供应链主管,6-8千/月,7,河西区围堤道103号峰汇广场B座21楼,河西区,117.213471,39.103329
天津光电集团有限公司,材料员（有限）,物流专员,2-4千/月,3,天津市河西区泰山路6号,河西区,117.236198,39.092811
唯品会（中国）有限公司,耗材管理员,物流专员,3-4千/月,3.5,崔黄口镇电子商务产业园宏达道20号,武清区,117.182463,39.522683
中信国安盟固利动力科技有限公司,物料计划员,物流专员,6-8千/月,7,九园工业区,北辰区,117.44258,39.452277
天地融科技股份有限公司,库管员,仓库管理员,4.5-6千/月,5.25,泉达路20号,武清区,117.052602,39.408824
天津一冶建设工程有限公司,材料采购/物资管理,物流专员,6-8千/月,7,东丽区无瑕街,东丽区,117.496289,39.05512
天津日特固防音配件有限公司,物料计划工程师,物流专员,6-8千/月,7,武清经济开发区福源道75号,武清区,,
康师傅杭州顶园食品有限公司,物料专员,物料专员,3-4.5千/月,3.75,洞庭路161号,河西区,117.699203,39.07216
招商路凯（中国）投资控股有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市东丽区合兴路国家物资储备八三八处,东丽区,,
万享供应链管理（天津）有限公司,诚聘国际物流销售+高提成,物流专员,3-6千/月,4.5,小白楼解放北路188号信达广场3009-3010,和平区,117.224435,39.123687
天津万立鑫晟新材料技术研究院有限公司,仓库管理员,仓库管理员,2-3千/月,2.5,天津市静海县良王庄,静海县,116.981841,39.031716
天津三电汽车空调有限公司,物料计划员,物流专员,2-4千/月,3,西青开发区赛达二大道8号,西青区,117.263596,38.992595
布柯玛蓄能器（天津）有限公司,仓库统计,物流专员,3-4.5千/月,3.75,津南经济开发区中惠道2号,津南区,117.312634,39.040044
小米通讯技术有限公司,小米之家库管员（滨海万达店）,仓库管理员,4.5-6千/月,5.25,滨海万达,河北区,117.685147,39.020866
无锡礼恩派华光汽车部件有限公司天津分公司,物流工,物流专员,3-4.5千/月,3.75,天津市武清开发区福源道77号10号厂房,武清区,117.027465,39.423113
昌易佳（天津）国际贸易有限公司,库管,仓库管理员,3-3.5千/月,3.25,天津市小站镇盛唐工业区盛唐1号路二号院,东丽区,,
辽宁爱普罗斯饲料有限公司,原料保管,仓库管理员,3.5-4.5千/月,4,唐山市芦台经济开发区二社区（北粮农业西侧）,宁河县,,
上海澳隆物流有限公司,运输经理,运输经理,4.5-6千/月,5.25,天津市滨海新区天津港航运君景广场1-4-823室,滨海新区,,
苏宁易购集团股份有限公司,快递站长,物流专员,4.5-6千/月,5.25,天津,河北区,117.205914,39.090908
北京普罗格科技股份有限公司,盘点组组长,物流专员,4-5千/月,4.5,天津市武清区京滨工业园菜鸟网络4号库,武清区,116.796014,39.55822
北京普罗格科技股份有限公司,耗材管理员,物流专员,3-4千/月,3.5,天津市武清区京滨工业园菜鸟网络4号库,武清区,116.796014,39.55822
卓集送信息科技（武汉）有限公司,物流车务运营,物流专员,4-6千/月,5,天津市 西青区 精武镇 创新道32号(津涞公路与工西路交口) 天津电商城（3楼B1--3013）,西青区,117.114121,39.050026
天狮集团有限公司,供应链主管(J10570),供应链主管,6-8千/月,7,天津市武清开发区新源道18号天狮国际健康产业园,武清区,117.02486,39.437302
天津宜家家居有限公司,物流部实习生,物流专员,2-3千/月,2.5,津塘公路433号（轻轨9号线东丽开发区站旁）,东丽区,117.685607,39.035405
利丰供应链管理（中国）有限公司,仓库系统文员,物流专员,4.5-6千/月,5.25,天津市西青区赛达九支路16号普佳物流园B3,西青区,117.233487,38.98584
嘉里大通物流有限公司天津分公司,运输经理,运输经理,6-8千/月,7,卫国道204号高等教育出版社院内,东丽区,,
天津海铁联捷国际物流有限公司,箱管操作 Equipment operator,物流专员,3-4.5千/月,3.75,天津市和平区兴安路环球金融中心1613室,和平区,117.198891,39.13951
天津海铁联捷国际物流有限公司,项目主管 Project supervisor,物流主管,4.5-6千/月,5.25,天津市和平区兴安路环球金融中心1613室,和平区,117.198891,39.13951
天津海铁联捷国际物流有限公司,销售经理 Sales manager,物流经理,6-8千/月,7,天津滨海新区开发区,河北区,117.687681,39.038858
天津海铁联捷国际物流有限公司,集装箱管理部经理 Equipment control manager,物流经理,4.5-6千/月,5.25,天津市和平区兴安路环球金融中心1613室,和平区,117.198891,39.13951
天津海铁联捷国际物流有限公司,客户经理 Key account manager,物流经理,4.5-6千/月,5.25,天津市和平区兴安路环球金融中心1613室,和平区,117.198891,39.13951
中信国安盟固利动力科技有限公司,区域订单专员,物流专员,6-8千/月,7,九园工业区,北辰区,117.44258,39.452277
万享供应链管理（天津）有限公司,国际物流销售,物流专员,3-4.5千/月,3.75,小白楼解放北路188号信达广场3009-3010,和平区,117.224435,39.123687
万享供应链管理（天津）有限公司,进口供应链管理专员,物流专员,3-6千/月,4.5,小白楼解放北路188号信达广场3009-3010,和平区,117.224435,39.123687
万享供应链管理（天津）有限公司,销售,物流专员,3-4.5千/月,3.75,小白楼解放北路188号信达广场3009-3010,和平区,117.224435,39.123687
万享供应链管理（天津）有限公司,进口货运代理专员(职位编号：5),物流专员,3-6千/月,4.5,小白楼解放北路188号信达广场3009-3010,和平区,117.224435,39.123687
万享供应链管理（天津）有限公司,进口物流专员(职位编号：1),物流专员,3-6千/月,4.5,小白楼解放北路188号信达广场3009-3010,和平区,117.224435,39.123687
美菜网,分拣组长,物流专员,4-6千/月,5,天津市北辰区交通集团城市物流配送中心,北辰区,117.172458,39.215325
天津链家宝业房地产经纪有限公司辰昌道店,链家储备主管 带薪年假 出国游,仓库主管,1-1.5万/月,12.5,长瀛里商业广场肯德基旁,北辰区,,
上海上嘉供应链管理有限公司,仓库经理,仓库经理,1-1.5万/月,12.5,武清开发区泉秀路20号（丰树天津武清物流园）,武清区,117.06537,39.424142
本来生活网,仓配经理,仓库经理,0.8-1万/月,9,天津西青区工业大学软件学院A8504,西青区,117.113679,39.075004
北京普罗格科技股份有限公司,物流仓储副经理/综合主管,仓库主管,0.8-1万/月,9,天津市武清区京滨工业园菜鸟网络4号库,武清区,116.796014,39.55822
跨越速运集团有限公司,仓储专员,仓库管理员,0.8-1万/月,9,海泰发展六道星企中心研发楼六楼,西青区,,
美菜网,仓库经理,仓库经理,0.8-1.2万/月,10,天津市北辰区交通集团城市物流配送中心,北辰区,117.172458,39.215325
唐山中陶实业有限公司,仓库经理,仓库经理,0.6-1万/月,8,路北区天元里商业211号,河北区,,
哈啰出行（哈罗单车hellobike）,高级仓库管理专员 (MJ003692),仓库管理员,0.5-1万/月,7.5,闵行区秀文路898号西子国际中心1栋5楼,闵行区,121.370428,31.128556
与德通讯技术有限公司,仓库主管,仓库主管,2-2.5万/月,22.5,深圳市南山区中山园路1001号TCL国际E城F1栋三楼,南山区,113.934936,22.577734
屈臣氏个人用品商店有限公司,库存主管/高级主管,仓库主管,0.8-1万/月,9,天津市西青区王稳庄镇赛达工业园普洛斯A3仓,西青区,117.2383,39.013483
日邮汽车物流（中国）有限公司,仓库主管warehouse supervisor,仓库主管,0.8-1万/月,9,天津港环球滚装码头,滨海新区,117.771278,39.026383
美团点评,美团点评仓储经理,仓库经理,1-1.8万/月,14,当地办公室,河北区,,
川崎振华物流（天津）有限公司,仓储部副经理,仓库经理,0.8-1万/月,9,天津港保税区海滨三路92号,滨海新区,117.775829,39.00863
赫基集团－厂部,高级仓库主任,仓库管理员,0.8-1万/月,9,崔黄口镇电子产业园宏兴道二号（赫基产业园）,武清区,117.198103,39.534271
唯品会（中国）有限公司,仓储运营助理/专员(10233)(职位编号：022392),仓库管理员,0.8-1万/月,9,肇庆大旺物流园,广宁县,112.842911,23.336845
上海上嘉供应链管理有限公司,仓库经理,仓库经理,1-1.5万/月,12.5,天津市武清开发区泉秀路20号（丰树天津武清物流园）,武清区,,
震坤行工业超市（上海）有限公司,仓储主管(职位编号：ZKH000793),仓库主管,0.8-1.2万/月,10,翠源道2号普洛斯武清现代服务产业园A4-U3,武清区,117.065252,39.423958
震坤行工业超市（上海）有限公司,仓储运作主管(职位编号：ZKH000795),仓库主管,0.8-1万/月,9,翠源道2号普洛斯武清现代服务产业园A4-U3,武清区,117.065252,39.423958
新康众集团,仓储主管（天津TDC仓）,仓库主管,0.7-1万/月,8.5,主城区,河北区,117.218296,39.12317
上海无忧供应链管理有限公司,仓库经理,仓库经理,0.8-1万/月,9,天津市北辰区高新大道景观路青年公寓412号,北辰区,,
埃克森（天津）实业集团有限公司,仓储物流经理,仓库经理,0.8-1万/月,9,天津市武清区崔黄口镇电子商务产业园兴广路1号,武清区,117.169976,39.527598
上海艾杰飞人力资源有限公司,日企需给课经理(编号107779) 日语英语必须,仓库经理,0.8-1万/月,9,天津,河北区,117.205914,39.090908
仕迪亚（北京）商务咨询有限公司,物流营业担当/系长-日语,物流经理,0.5-1万/月,7.5,第二大街,滨海新区,117.73331,39.023963
天津亚东国际货运有限公司,国内物流仓储事业部总经理,物流经理,1-1.5万/月,12.5,凯旋门大厦A座30层E,河西区,117.223689,39.120693
库房无忧,物流专员 包住（天津津南）,物流专员,0.8-1.5万/月,11.5,天津市津南区双港镇联东U谷总部大观5号楼A座2313,津南区,117.308161,39.022538
迈捷环球货运代理（天津）有限公司,物流货代销售主管,物流主管,0.8-1万/月,9,南京路189号津汇广场1座904,和平区,117.20425,39.123895
北京必胜客比萨饼有限公司天津分公司,百胜中国外送城市经理,物流经理,1.5-2万/月,17.5,东马路129号仁恒置地写字楼F16-F17,南开区,117.199152,39.144776
北京普罗格科技股份有限公司,物流仓储副经理/综合主管,物流经理,0.8-1万/月,9,天津市武清区京滨工业园菜鸟网络4号库,武清区,116.796014,39.55822
索科纳（天津）新材料科技有限公司,物流工程师,物流专员,0.8-1万/月,9,天津空港经济区,东丽区,117.398245,39.160477
中兴能源,南亚片区物流经理(职位编号：CC194769718J00105484212),物流经理,1.5-2万/月,17.5,华苑智慧山南塔,西青区,117.128288,39.098788
卓集送信息科技（武汉）有限公司,KA大客户经理（物流）,物流经理,0.6-1万/月,8,天津市 西青区 精武镇 创新道32号(津涞公路与工西路交口) 天津电商城（3楼B1--3013）,西青区,117.114121,39.050026
天津航星国际货运代理有限公司,美洲部主管,物流主管,0.8-1万/月,9,天津市和平区贵州路18号君悦大厦B座4 层,和平区,117.200044,39.11841
上海上嘉供应链管理有限公司,仓储经理,仓库经理,0.8-1.3万/月,10.5,武清开发区泉秀路20号（丰树天津武清物流园）,武清区,,
新康众集团,仓储主管（天津TDC仓）,仓库主管,0.7-1万/月,8.5,主城区,河北区,117.218296,39.12317
北京博华物流有限公司,办事处经理,物流经理,0.7-1.2万/月,9.5,东丽区津北公路财城公寓4号楼202室,东丽区,117.345187,39.115055
上海万创危险品物流有限公司,运作基地负责人,物流专员,0.8-1万/月,9,河东区,河东区,117.258694,39.134554
日邮物流（中国）有限公司,AFF Manager 空运经理（天津）,物流经理,1-1.5万/月,12.5,天津市和平区南京路75号国际大厦,和平区,117.215811,39.121896
地中海捷运物流（上海）有限公司,装箱部经理,物流经理,0.8-1万/月,9,跃进路3658号,东丽区,117.754191,39.032227
上海天地汇供应链管理有限公司,业务拓展经理（天津+五险一金+补贴+高额提成+拟上市）,物流经理,0.6-1万/月,8,天津市西青区中北镇节能大厦9楼,西青区,117.082519,39.131251
麦格纳汽车镜像（天津）有限公司,物流主管,物流主管,1-1.5万/月,12.5,天津空港经济区中环西路491号,东丽区,117.410005,39.131567
上海建发物资有限公司,物流管理员,仓库管理员,0.8-1万/月,9,天津市河西区围堤道53号丽晶大厦,河西区,117.22574,39.099241
苏美达国际技术贸易有限公司,管理培训生-物流方向(职位编号：sumecitc000677),物流经理,0.8-1万/月,9,津滨大道57号万达广场,河东区,117.263418,39.129316
安纽希（天津）婴幼儿食品科技有限公司,供应链中心总监,供应链总监,0.8-1万/月,9,南马路11号,和平区,117.195429,39.14188
美菜网,仓储经理/高级经理（天津）,仓库经理,0.9-1.8万/月,13.5,交通集团城市物流配送中心美菜网仓库,北辰区,,
厦门象屿速传供应链发展股份有限公司,进口物流总监（大宗商品）,物流总监,1-1.5万/月,12.5,（如匹配岗位需求，工作地点可沟通）,河北区,,
万达杰诚国际货运代理（天津）有限公司,海运部经理,物流经理,1-1.5万/月,12.5,解放南路256号泰达大厦21层A座,河西区,117.227835,39.119247
深圳市宝能投资集团有限公司,进口生鲜运营经理（宝能物流集团）(职位编号：baoneng002935),物流经理,1-1.5万/月,12.5,天津市,河北区,117.20952,39.093669
绝味食品天津子公司,物流总监,物流总监,1-3万/月,20,朱行镇金山工业园金舸路1218号,河北区,121.347358,30.836244
长春一汽富维汽车零部件股份有限公司天津冲压件分公司,物流工程师,物流专员,0.8-1万/月,9,天津市北辰区经济技术开发区兴河路与永信道交口,北辰区,,
厦门华商经纬物流有限公司,分公司经理,物流经理,0.7-1万/月,8.5,天津市和平区兰州道金德园1号楼608,和平区,117.197517,39.123934
埃克森（天津）实业集团有限公司,仓储物流经理,物流经理,0.8-1万/月,9,天津市武清区崔黄口镇电子商务产业园兴广路1号,武清区,117.169976,39.527598
上海通富国际物流有限责任公司,分公司副经理,物流经理,0.8-1万/月,9,天津市河西区大沽南路501号恒华大厦1-1505,河西区,117.230755,39.110201
宇培供应链管理有限公司,物流经理,物流经理,1.5-2万/月,17.5,泰华路与福运道交界,西青区,,
广海集团,华北区域经理,物流经理,0.8-1.2万/月,10,新港三号路紫云园23栋2门306,滨海新区,117.707823,39.015201
密尔克卫化工供应链服务股份有限公司天津分公司,配送经理,物流经理,1-1.5万/月,12.5,天津市河东区天津河东区十一经路天星河畔广场,河东区,117.228649,39.125681
优诺（天津）服装有限公司,服装制造供应链总监,物流总监,2-2.5万/月,22.5,天津市西青区兴华十支路5号,西青区,117.212074,39.026904
天津东疆港大冷链商品交易市场有限公司,物流中心经理,物流经理,0.6-1.2万/月,9,东疆保税港区邯郸道601号,滨海新区,117.810613,39.018115
上海找钢网信息科技股份有限公司,中级运营专员,物流专员,1.5-1.8万/月,16.5,天津市北辰区顺义道中储大楼101-108室,北辰区,117.172934,39.209061
上海华通行供应链管理有限公司,分公司/分支机构经理,物流经理,0.6-1万/月,8,天津市西青区中北镇中北大道与星光路交口节能大厦20层K,西青区,117.082703,39.130409
天津品骏物流有限公司,城市经理/网络管理主管,物流经理,0.7-1万/月,8.5,宏达道唯品会电子商务中心,武清区,117.161357,39.522126
北京乐卡车联科技有限公司,城市经理,物流经理,1-1.5万/月,12.5,自主,河北区,117.180491,39.116641
上海细微信息咨询有限公司,物流销售,物流专员,0.6-1.2万/月,9,津围公路华北集团成邦物流园锦福乐购物中心1层德克汉堡,北辰区,117.234524,39.236454
雪佛龙中国下游业务,Logistics Manager,物流经理,1.8-3.5万/月,26.5,No. 32,河北区, Free Trade Zone, Eastern Road
天津金永达装饰工程服务部,物流总监(职位编号：023),物流总监,0.5-2.5万/月,15,世纪都会,和平区,117.205864,39.12329
江苏正天物流有限公司,区域物流经理,物流经理,1.5-2万/月,17.5,西青区奥森物流A区向西100米杨柳青八街正天物流,西青区,117.064407,39.155066
北京一采通信息科技有限公司,实施项目经理,物流经理,1.3-1.8万/月,15.5,天津市南开区南城街富力城天霖园4-2-802,南开区,117.181263,39.147402
广州一智通供应链管理有限公司,运力经理/总监,物流总监,1-1.5万/月,12.5,天津,河北区,117.209523,39.093668
小黄狗环保科技有限公司,铁骑规划主管/专员 (MJ000554),物流专员,0.5-1万/月,7.5,莞太路民间众创金融街2号楼17楼,滨海新区,113.745371,23.015837
万享供应链管理（天津）有限公司,国际物流销售经理,物流经理,0.8-1.5万/月,11.5,小白楼解放北路188号信达广场3009-3010,和平区,117.224435,39.123687
安吉广源物流有限公司,普工跟单员保安,物流专员,0.8-1万/月,9,太平洋广场,河北区,121.545755,31.318439
沈阳华才网络咨询有限公司,物流仓储管理 海外雇主直招 可移民非外派,仓库管理员,1-4万/月,25,，新加坡，澳大利亚，丹麦,河北区,113.26237,23.151408
卖好车,仓储区域经理,物流经理,0.8-1.5万/月,11.5,天津市塘沽保税区开利大厦,滨海新区,117.76246,39.010565
北京东方兴贸国际货运代理有限公司,国际物流项目经理,物流经理,0.8-1万/月,9,CBD万达广场,河东区,120.38548,36.094437
饿了么,物流高级经理（华北大区）,物流经理,40-60万/月,500,天津市河西区小白楼富力中心A1405,河西区,117.223424,39.118432
库房无忧,物流专员 包住（天津武清）,物流专员,0.8-1.5万/月,11.5,天津市武清区杨村镇振华路与建国北路交叉口君利商厦D座801-2室,武清区,117.075508,39.378461
天津亚东国际货运有限公司,进口操作部经理,物流经理,1.5-2万/月,17.5,凯旋门大厦A座30层E,河西区,117.223689,39.120693
四川物联亿达科技有限公司,物流配送经理/主管,物流经理,0.6-1万/月,8,天津市,河北区,117.20952,39.093669
卓集送信息科技（武汉）有限公司,物流大客户经理,物流经理,0.5-1万/月,7.5,天津市 西青区 精武镇 创新道32号(津涞公路与工西路交口) 天津电商城（3楼B1--3013）,西青区,117.114121,39.050026
卓集送信息科技（武汉）有限公司,（互联网平台）物流经理(职位编号：2),物流经理,0.6-1万/月,8,天津市 西青区 精武镇 创新道32号(津涞公路与工西路交口) 天津电商城（3楼B1--3013）,西青区,117.114121,39.050026
卓集送信息科技（武汉）有限公司,（020）物流大客户经理(职位编号：1),物流经理,0.6-1万/月,8,天津市 西青区 精武镇 创新道32号(津涞公路与工西路交口) 天津电商城（3楼B1--3013）,西青区,117.114121,39.050026
天津航星国际货运代理有限公司,美洲部负责人,物流主管,0.8-1万/月,9,天津市和平区贵州路18号君悦大厦B座4 层,和平区,117.200044,39.11841
天津蓝储国际物流有限公司,市场业务员(职位编号：002),物流专员,0.2-1万/月,6,天津市东丽区华明镇北于堡工业区蓝储物流,东丽区,,
天津瀚诺威国际物流有限公司,CSR/操作经理,物流经理,0.5-1万/月,7.5,临港经济区,河北区,117.722029,38.962197
深圳市中海通物流股份有限公司,货代项目经理,物流经理,0.6-1万/月,8,成都道与西康路交口赛顿中心C座1903室,和平区,117.198936,39.112582
上海艾杰飞人力资源有限公司,日企需给课经理(编号107779) 日语英语必须,物流经理,0.8-1万/月,9,天津,河北区,117.205914,39.090908
上海无忧供应链管理有限公司,仓库经理,仓库经理,0.8-1万/月,9,西青区,西青区,117.014408,39.148727
谷山企业管理咨询（天津）有限公司,仓储物流部经理,物流经理,0.8-1万/月,9,天津经济开发区汉沽现代产业区彩云东路58号,滨海新区,,
上海天地汇供应链管理有限公司,储备干部（运营调度）,物流专员,0.6-1万/月,8,天津市西青区京福公路与紫阳道交口天地汇铭达公路港,北辰区,,
天津永顺丰国际物流有限公司,驻海外人员海运操作,物流专员,0.6-1.2万/月,9,南开三马路与长江道交口金融街中心A座2006-2007,南开区,117.180021,39.129026
天津宝涞精工集团股份有限公司,仓储物流经理（宝坻区）,物流经理,0.8-1万/月,9,天津市宝坻区牛家牌镇福顺路8号,宝坻区,117.298269,39.533585
美菜网,仓储经理/高级经理（天津）,仓库经理,0.9-1.8万/月,13.5,交通集团城市物流配送中心美菜网仓库,北辰区,,
美菜网,质控经理（天津-仓储）,物流经理,1-1.5万/月,12.5,交通集团城市物流配送中心美菜网仓库,北辰区,,
美菜网,配送运营经理（华北大区）,物流经理,1-1.5万/月,12.5,阿里山路平安不动产物流园B4美菜办公室,河北区,,
厦门象屿速传供应链发展股份有限公司,出口项目总监/经理,物流总监,0.8-1.5万/月,11.5,（如匹配岗位需求，工作地点可沟通）,河北区,,
厦门象屿速传供应链发展股份有限公司,物流管控专员/主管,物流专员,0.6-1万/月,8,（上海、天津、厦门）,河北区,,
厦门象屿速传供应链发展股份有限公司,内贸海运物流业务总监/经理,物流总监,1-1.5万/月,12.5,厦门市湖里区国际航运中心,湖里区,118.100178,24.516194
上海找钢网信息科技股份有限公司,中级运能专员,物流专员,1.2-1.5万/月,13.5,天津北辰区顺义道中储大厦103-107,北辰区,117.172934,39.209068
上海找钢网信息科技股份有限公司,初级运能专员,物流专员,0.8-1万/月,9,天津市东丽区钢管公司轻轨站对面大无缝众创基地5楼,东丽区,117.408677,39.079398
天津奥尔森物流有限公司,调度经理—工作地点大港,物流经理,0.8-1.2万/月,10,天津市大港区大港炼油厂北侧200米,滨海新区,117.510517,38.729991
海斯坦普汽车组件（天津）有限公司,物流经理 Logistics Manager,物流经理,0.8-1万/月,9,开源道22号,红桥区,117.065226,39.405467
美团点评,物流经理,物流经理,0.5-1万/月,7.5,美团,河北区,117.275644,39.134746
美团点评,物流主管,物流主管,0.6-1.5万/月,10.5,美团,河北区,117.275644,39.134746
美团点评,品控主管,物流主管,0.6-1.2万/月,9,天津市河东区,河东区,117.258413,39.134487
北京长久物流股份有限公司,安全经理,物流经理,0.6-1万/月,8,天津市津南区双桥河镇双桥开发区外津储运,津南区,117.452616,38.997153
蓝海宏业（天津）物流有限公司,专线经理,物流经理,0.8-1万/月,9,华明镇北于堡（津芦线）3099号蓝盟物流园内,东丽区,117.395046,39.228371
美菜网,仓储运营经理（天津、沈阳、大连、石家庄就近分配）,仓库经理,1-1.5万/月,12.5,交通集团城市物流配送中心美菜网仓库,北辰区,,
美菜网,仓储运营经理（天津）,仓库经理,1-1.3万/月,11.5,交通集团城市物流配送中心美菜网仓库,北辰区,,
天津泽元信息技术有限公司,物流经理,物流经理,0.8-1.2万/月,10,大港轻纺经济区轻一街1113号（元顺物流）,滨海新区,117.728939,39.051035
天津泽元信息技术有限公司,物流（业务）经理,物流经理,0.8-1.2万/月,10,大港轻纺经济区轻一街1113号（元顺物流）,滨海新区,117.728939,39.051035
天津阿克苏诺贝尔过氧化物有限公司,车队主管,物流主管,1-1.5万/月,12.5,天津市北辰区外环线24.5公里处西侧,北辰区,,
北京突破电气有限公司,供应链经理,供应链经理,1-1.5万/月,12.5,天津滨海高新区滨海科技园高新二路197号,东丽区,,
施维雅（天津）制药有限公司,供应链主管,供应链主管,0.8-1.5万/月,11.5,天津市经济技术开发区第十大街12号,滨海新区,117.705847,39.074454
美团点评,配送经理,物流经理,1-1.8万/月,14,当地办公室,河北区,117.827599,39.247403
绫致时装（天津）有限公司,运输经理,运输经理,2-2.5万/月,22.5,天津市武清开发区泉秀路9号,武清区,117.05939,39.395678
密尔克卫化工供应链服务股份有限公司天津分公司,海运部副经理,物流经理,0.8-1万/月,9,天津市河东区天星河畔广场1809,河东区,117.22865,39.12568
密尔克卫化工供应链服务股份有限公司,管理培训生（天津）,物流专员,0.8-1万/月,9,天津市河东区天津河东区十一经路天星河畔广场,河东区,117.228649,39.125681
