职位,公司名称,城市,城区,地址,经度,纬度,工资(千/月）,网址
搬运工,上海赫持货运代理有限公司,天津,宁河区,宁河现代产业园,117.435577,39.24779765,,https://jobs.51job.com/tianjin-nhq/102287472.html?s=01&t=0
搬运工,上海赫持货运代理有限公司,天津,宁河区,宁河现代产业园,117.435577,39.24779765,,https://jobs.51job.com/tianjin-nhq/101875919.html?s=01&t=0
搬运工,上海赫持货运代理有限公司,天津,宁河区,宁河现代产业园,117.435577,39.24779765,,https://jobs.51job.com/tianjin-nhq/101875916.html?s=01&t=0
仓库管理员,UPS,天津,,天津市,117.2108131,39.1439299,,https://jobs.51job.com/tianjin/101843670.html?s=01&t=0
搬运工,打零工（上海）互联网科技有限公司天津分公司,天津,东丽区,天津市东丽区北方五金城旁高科技物流园内,117.2813893,39.20702707,3.2-5千/月,https://jobs.51job.com/tianjin-dlq/98900154.html?s=01&t=0
仓库管理员,安道拓（天津）汽车配件销售有限公司,天津,,天津市开发区第一大街,117.1424523,39.16736434,4-8千/月,https://jobs.51job.com/tianjin-bhxq/104388697.html?s=01&t=0
调度员,安吉智行物流有限公司,天津,,王稳庄津淄公路226号,117.2770747,38.89348498,,https://jobs.51job.com/tianjin-xqq/54224836.html?s=01&t=0
搬运工,天津市悦鑫建筑装饰工程有限公司,天津,河东区,河东区天山南路万隆小区,117.2868745,39.13002065,3-4.5千/月,https://jobs.51job.com/tianjin-hdq/103820391.html?s=01&t=0
仓储经理,天津嘉泰伟业化工有限公司,天津,滨海新区,天津滨海新区大港金源路2号,117.4935383,38.82046157,3-5千/月,https://jobs.51job.com/tianjin-bhxq/72392415.html?s=01&t=0
仓库管理员,安捷励电控技术南京有限公司,天津,,华明大道22号,117.3734544,39.17412687,5-7千/月,https://jobs.51job.com/tianjin-dlq/100048778.html?s=01&t=0
仓库管理员,安纽希（天津）婴幼儿食品科技有限公司,天津,,南马路11号,117.193628,39.14203872,2-3千/月,https://jobs.51job.com/tianjin-hpq/100623866.html?s=01&t=0
调度员,安信联合物流有限公司,天津,,临港经济区黄河道2699号（黄河道与渤海28路交口）,117.0746082,38.83416663,6-8千/月,https://jobs.51job.com/tianjin-bhxq/102258255.html?s=01&t=0
仓储经理,先知（天津）图书销售有限公司,天津,河西区,天津市河西区尖山路100号,117.2302237,39.09265673,3-3.5千/月,https://jobs.51job.com/tianjin-hxq/98724363.html?s=01&t=0
仓库管理员,翱文狄风电设备制造（上海）有限公司,天津,滨海新区,经济技术开发区南海路156号津滨发展31#厂房,117.7174776,39.06404617,4.5-6千/月,https://jobs.51job.com/tianjin-bhxq/92268473.html?s=01&t=0
仓储经理,北京小易到家电子商务有限公司,天津,和平区,天津市和平区南京路131号富玛特大厦A座1101室,117.2074911,39.12335868,1-1.5万/月,https://jobs.51job.com/tianjin/91375063.html?s=01&t=0
仓库管理员,百士吉泵业（天津）有限公司,天津,,天津市华苑环外海泰华科二路2号,117.026691,39.15054228,3.5-5千/月,https://jobs.51job.com/tianjin-xqq/102306608.html?s=01&t=0
仓储经理,广州市巴图鲁信息科技有限公司,天津,武清区,天津市武清区东马圈镇武落路与大东线交口佩森物流园区,116.8572391,39.46639857,1.3-1.8万/月,https://jobs.51job.com/tianjin-wqq/105252789.html?s=01&t=0
仓库管理员,百世物流科技（中国）有限公司,天津,,空港保税区西二道7号,117.3807326,39.15956429,4.5-6千/月,https://jobs.51job.com/tianjin/103485933.html?s=01&t=0
仓库主管,百世物流科技（中国）有限公司,天津,,天津,117.2108131,39.1439299,,https://jobs.51job.com/tianjin/103485974.html?s=01&t=0
仓库管理员,保嘉自控（中国）有限公司,天津,,北闸口镇广惠道49号,117.4163675,38.95753585,4-6千/月,https://jobs.51job.com/tianjin-jnq/105095770.html?s=01&t=0
仓储经理,天津市康科德科技有限公司,天津,武清区,天津市武清区梅厂镇福源经济区发源路2号,117.1996949,39.36927922,4.5-6千/月,https://jobs.51job.com/tianjin-wqq/82039198.html?s=01&t=0
仓库管理员,保利佐川物流有限公司天津分公司,天津,,西站,117.3315482,40.0184716,3-4.5千/月,https://jobs.51job.com/tianjin-hqq/91403126.html?s=01&t=5
仓库管理员,北大青鸟环宇消防设备股份有限公司,天津,,万科新城凌霄苑7-07,117.212972,39.21300998,3-4.5千/月,https://jobs.51job.com/tianjin-bcq/97577637.html?s=01&t=0
仓库理货员,北方万邦物流有限公司天津分公司,天津,,缅甸、刚果金,117.2108131,39.1439299,,https://jobs.51job.com/overseas/101480998.html?s=01&t=0
仓储经理,湖南第二树循环家具有限公司,天津,西青区,西青区杨柳青发电厂北侧1公里处104国道旁,117.0139432,39.14445688,4-6千/月,https://jobs.51job.com/tianjin-xqq/93178558.html?s=01&t=0
叉车工,北方万邦物流有限公司天津分公司,天津,,开发区,117.2108131,39.1439299,,https://jobs.51job.com/tianjin-bhxq/98879879.html?s=01&t=0
仓库管理员,北京安信捷达物流有限公司,天津,,李桥镇仁和镇窑坡村EMS库房,117.2108131,39.1439299,3-4.5千/月,https://jobs.51job.com/beijing-syq/102541900.html?s=01&t=0
仓库管理员,北京缤歌网络科技有限公司,天津,,水上西路方正山海天,117.1661849,39.08539228,,https://jobs.51job.com/tianjin-nkq/102956470.html?s=01&t=0
仓库管理员,北京畅速快递有限公司,天津,,福源道78号  敏华工业城8--6号,117.0272873,39.42250534,,https://jobs.51job.com/tianjin-wqq/103492144.html?s=01&t=0
仓储经理,深圳市北领科技物流有限公司,天津,宁河区,天津市宁河现代产业园区安捷西路2号安博天津宁河物流中心1#库,117.441857,39.25754713,,https://jobs.51job.com/tianjin/98746724.html?s=01&t=0
仓储经理,上海上嘉供应链管理有限公司,天津,武清区,天津市武清开发区泉秀路20号（丰树天津武清物流园）,117.0593897,39.3956782,5-7千/月,https://jobs.51job.com/tianjin-wqq/103109761.html?s=01&t=0
仓储经理,天津久能万德科技有限公司,天津,北辰区,北辰区经济技术开发区优谷新科园137号楼,117.0481165,39.21998582,,https://jobs.51job.com/tianjin-bcq/90495723.html?s=01&t=0
仓储经理,百世物流科技（中国）有限公司,天津,武清区,天津市武清开发区高新公寓附近,117.0189956,39.4379838,6-8千/月,https://jobs.51job.com/tianjin/103485932.html?s=01&t=0
仓储经理,天津中侨物流有限公司,天津,东丽区,天津市东丽区杨北建材城,117.4147823,39.13960464,3-4.5千/月,https://jobs.51job.com/tianjin-dlq/102250912.html?s=01&t=0
仓储管理文员,北京畅速快递有限公司,天津,,福源道78号  敏华工业城8--6号,117.0272873,39.42250534,4-5千/月,https://jobs.51job.com/tianjin-wqq/105059480.html?s=01&t=0
调度员,北京航天计量测试技术研究所,天津,东丽区,空港经济区,117.420079,39.16042451,,https://jobs.51job.com/tianjin-dlq/99482424.html?s=01&t=0
仓库管理员,爱回收,天津,武清区,武清开发区,117.0593897,39.3956782,3-5千/月,https://jobs.51job.com/tianjin-wqq/81246027.html?s=01&t=0
仓库管理员,北京华地臻品食品有限公司,天津,,国家产业开发区北财源道14号,117.0555347,39.40291752,,https://jobs.51job.com/tianjin-wqq/95887159.html?s=01&t=0
仓库管理员,北京华峰测控技术股份有限公司,天津,,天津市安正路179号滨旅产业园二区1号楼2门201,117.765261,39.11362265,4.5-6千/月,https://jobs.51job.com/tianjin-bhxq/100227563.html?s=01&t=0
仓库管理员,立昇净水集团,天津,和平区,天津和平区多伦道新文化花园新典居3-1-102,117.191652,39.13203776,3.5-6千/月,https://jobs.51job.com/tianjin/96165587.html?s=01&t=0
仓库管理员,北京骏马东方机械设备有限公司,天津,,李七庄街蔡台村中兴路,117.1702734,39.05921131,4-6千/月,https://jobs.51job.com/tianjin-xqq/100633985.html?s=01&t=0
仓库管理员,力司百灵弹簧（苏州）有限公司,天津,东丽区,天津市东丽区华明高新区弘轩道7号3号厂房1楼,117.359427,39.17947211,2-5千/月,https://jobs.51job.com/tianjin-dlq/97342338.html?s=01&t=0
仓库管理员,北京麦味宝食品有限公司,天津,,梅厂镇福源经济区开源路8号,117.2044932,39.35911022,3-4.5千/月,https://jobs.51job.com/tianjin-wqq/103772223.html?s=01&t=0
仓库管理员,力司百灵弹簧（苏州）有限公司,天津,东丽区,天津市东丽区华明高新区弘轩道7号3号厂房1楼,117.359427,39.17947211,2-3千/月,https://jobs.51job.com/tianjin-dlq/102927272.html?s=01&t=0
仓库管理员,北京思腾合力科技有限公司,天津,,北欧绿色产业园6号楼2层,116.9892385,39.4434085,,https://jobs.51job.com/tianjin-wqq/103526727.html?s=01&t=0
仓库管理员,北京思腾合力科技有限公司,天津,,北欧绿色产业园6号楼2层,116.9892385,39.4434085,2.5-5千/月,https://jobs.51job.com/tianjin-wqq/103523915.html?s=01&t=0
仓库管理员,北京小易到家电子商务有限公司,天津,,天津,117.2108131,39.1439299,4-6千/月,https://jobs.51job.com/tianjin/93040782.html?s=01&t=0
仓库管理员,北京远大洪雨防水材料有限责任公司,天津,,芦台经济开发区远大洪雨生产基地,117.8319539,39.33432833,4-6千/月,https://jobs.51job.com/tianjin-nhq/92054682.html?s=01&t=0
仓库管理员,天津华德瑞宝国际贸易有限公司,天津,东丽区,东丽区树森物流园,117.4147823,39.13960464,3-4.5千/月,https://jobs.51job.com/tianjin/102977646.html?s=01&t=0
仓库管理员,北京中集物流有限公司,天津,,陆路港装备产业园陆港三经路5号,117.334521,39.25502621,3-3.5千/月,https://jobs.51job.com/tianjin-bcq/99856792.html?s=01&t=0
仓库管理员,天津市一丰商贸有限公司,天津,南开区,天津市南开区延安路6号中欣汽配城501. （五金城附近）,117.1235858,39.13768095,,https://jobs.51job.com/tianjin-nkq/103536067.html?s=01&t=0
仓库管理员,天津中辰自动化设备有限公司,天津,东丽区,天津市东丽区金桥工业园亿达路8号,117.4190877,39.10933856,,https://jobs.51job.com/tianjin-dlq/91734237.html?s=01&t=0
仓库管理员,碧桂园控股,天津,,碧桂园,117.3416896,38.95198236,,https://jobs.51job.com/tianjin/103667488.html?s=01&t=0
仓库管理员,天津世尊进出口贸易有限公司,天津,滨海新区,滨海新区,117.6462863,39.05917664,,https://jobs.51job.com/tianjin-bhxq/92507877.html?s=01&t=0
仓库主管,傧杰（北京）国际科技有限公司,天津,,满江道与昆仑路交口保利昆仑大厦,117.2720383,39.16720794,4.5-6千/月,https://jobs.51job.com/tianjin-hbq/89190205.html?s=01&t=0
仓库管理员,博士伦（上海）贸易有限公司浙江经销商,天津,,南门外大街世纪花园,117.1865312,39.13728532,3-4.8千/月,https://jobs.51job.com/tianjin-nkq/104606094.html?s=01&t=0
仓库管理员,博士伦（上海）贸易有限公司浙江经销商,天津,,世纪花园,117.4853588,38.8596451,3-4.5千/月,https://jobs.51job.com/tianjin-nkq/102850461.html?s=01&t=0
仓库管理员,天津卡利欧玛热能设备制造有限公司,天津,宝坻区,天津市宝坻区天宝工业园区,117.4114206,39.615544,,https://jobs.51job.com/tianjin-bdq/103515405.html?s=01&t=0
仓库管理员,博宇金属股份有限公司,天津,,天津市宜兴镇七街工业园,117.2403635,39.22257355,2-3千/月,https://jobs.51job.com/tianjin/99541734.html?s=01&t=0
仓库管理员,天津费莱瑞思商贸有限公司,天津,东丽区,天津市东丽区金钟河大街大毕庄工业区,117.2599273,39.20119276,,https://jobs.51job.com/tianjin-dlq/103487715.html?s=01&t=0
仓库管理员,天津新大洋模具有限公司静海分公司,天津,静海区,经济开发区南区天宇科技园泰安道西侧天津新大洋模具有限公司静海分公司,116.9977723,38.90821152,,https://jobs.51job.com/tianjin-jhq/102360627.html?s=01&t=0
仓库管理员,昌宜（天津）模板租赁有限公司,天津,东丽区,天津市空港经济区经三路203号,117.420079,39.16042451,4.5-6千/月,https://jobs.51job.com/tianjin/103689838.html?s=01&t=0
仓库管理员,昌易佳（天津）国际贸易有限公司,天津,,天津市小站镇盛唐工业区盛唐1号路二号院,117.3101172,39.14904187,3-3.5千/月,https://jobs.51job.com/tianjin-jnq/93520416.html?s=01&t=0
仓库管理员,常源科技（天津）有限公司,天津,,空港保税区蔷薇路12号,117.3899047,39.15725418,5.5-6.5千/月,https://jobs.51job.com/tianjin-dlq/97174688.html?s=01&t=0
调度员,成都希地物流有限公司,天津,,北仓金玺大厦写字楼2号楼1002室,117.1388795,39.22863498,4-7千/月,https://jobs.51job.com/tianjin-bcq/104299707.html?s=01&t=0
仓库管理员,天津千图服饰有限公司,天津,南开区,天津市南开区密云路南运河道1000号,117.1361587,39.1565826,,https://jobs.51job.com/tianjin-nkq/72385440.html?s=01&t=0
调度员,传化物流集团有限公司（陆鲸科技）,天津,,钱江世纪城传化大厦,117.2108131,39.1439299,4-8千/月,https://jobs.51job.com/hangzhou/99424044.html?s=01&t=0
仓库管理员,创维（天津）网络技术有限公司,天津,东丽区,空港经济技术开发区经三路与港城大道交口,117.459038,39.14120134,3-4.5千/月,https://jobs.51job.com/tianjin-dlq/102312410.html?s=01&t=0
仓库管理员,上海凯立企业管理有限公司,天津,宁河区,天津市宁河区安捷西路2号德邦物流,117.441857,39.25754713,,https://jobs.51job.com/tianjin-nhq/103458666.html?s=01&t=0
仓库管理员,创维（天津）网络技术有限公司,天津,东丽区,空港经济技术开发区经三路与港城大道交口,117.459038,39.14120134,2-3千/月,https://jobs.51job.com/tianjin-dlq/102312172.html?s=01&t=0
仓库管理员,达达-京东到家,天津,,张家窝镇,117.0320431,39.08338564,3-4.5千/月,https://jobs.51job.com/tianjin-xqq/96878453.html?s=01&t=0
仓库管理员,大连诚源船务有限公司,天津,,大菜市4号门,117.2108131,39.1439299,6-8千/月,https://jobs.51job.com/dalian-xgq/103272370.html?s=01&t=0
仓储管理文员,德国西诺德牙科设备公司,天津,,TEDA 泰华路78号 宏泰工业园H2厂房,117.7260802,39.06319939,3-4千/月,https://jobs.51job.com/tianjin-bhxq/103182360.html?s=01&t=0
仓库管理员,德马吉森精机（天津）机床有限公司,天津,滨海新区,经济技术开发区西区新业二街105号,117.7266953,39.06883437,3.5-8千/月,https://jobs.51job.com/tianjin-bhxq/88467269.html?s=01&t=0
仓库管理员,东方海外物流（中国）有限公司,天津,,天津港保税区新港大道101号,117.7735416,39.01110193,,https://jobs.51job.com/tianjin/101774868.html?s=01&t=0
仓库管理员,东葛树脂（天津）有限公司,天津,,天津新技术产业园区（环外区）海泰东路6号,117.131966,39.10349258,3-4.5千/月,https://jobs.51job.com/tianjin/102578621.html?s=01&t=0
仓库管理员,天津卓诗尼商贸有限公司,天津,北辰区,天津市北辰区瑞景国际鞋城,117.1315465,39.20938956,,https://jobs.51job.com/tianjin-bcq/102567333.html?s=01&t=0
仓库管理员,天津市创翔电子科技有限公司,天津,南开区,天津南开区兰苑路海泰工房时代3-103,117.1387124,39.09934034,,https://jobs.51job.com/tianjin-nkq/101625374.html?s=01&t=0
仓库管理员,东易日盛家居装饰集团股份有限公司天津分公司,天津,,兴华十支路全程物流东易日盛,117.2616951,39.20068069,5-5.5千/月,https://jobs.51job.com/tianjin-xqq/92443146.html?s=01&t=0
仓库管理员,多喜佳伴纳服饰商业（上海）有限公司（Dolce & Gabbana）,天津,,弗罗伦萨小镇,117.2108131,39.1439299,,https://jobs.51job.com/tianjin-wqq/56037238.html?s=01&t=0
仓库管理员,天津源源家科技有限公司,天津,西青区,天津市西青区李七庄街凌奥创意园一期1号楼409,117.1736377,39.06980268,,https://jobs.51job.com/tianjin-xqq/100100254.html?s=01&t=0
仓库管理员,饿了么,天津,,天津市,117.2108131,39.1439299,5-8千/月,https://jobs.51job.com/tianjin/104946446.html?s=01&t=0
仓库管理员,天加空调（天津）有限公司,天津,武清区,天津武清开发区开源道21号,117.0802722,39.41160917,,https://jobs.51job.com/tianjin-wqq/97842545.html?s=01&t=0
仓库管理员,房利美建材（天津）有限公司,天津,,东马圈镇大东线24号,116.8553096,39.46612869,,https://jobs.51job.com/tianjin-wqq/98925945.html?s=01&t=0
仓库管理员,天津市宝鸽电动自行车有限公司,天津,北辰区,北辰区双口镇近河北工业大学北辰校区   乘车路线：刘园站乘坐734路公交至渔坝口站下车,116.9945751,39.22706404,,https://jobs.51job.com/tianjin-bcq/68515007.html?s=01&t=0
仓库管理员,天津市金煊塑料制品有限公司,天津,河北区,河北区,117.2202968,39.17314893,,https://jobs.51job.com/tianjin-hbq/98287239.html?s=01&t=0
仓库管理员,上海赫持货运代理有限公司,天津,宁河区,宁河现代产业园,117.435577,39.24779765,,https://jobs.51job.com/tianjin-nhq/99117751.html?s=01&t=0
仓库管理员,丰利和（天津）进出口有限公司,天津,,金钟河大街金钟路广告大院甲1,117.2122346,39.16087755,3-4.5千/月,https://jobs.51job.com/tianjin-hbq/88167956.html?s=01&t=0
仓库管理员,佛斯伯机械（天津）有限公司,天津,,精武镇学府慧谷工业园,117.141647,39.03474214,,https://jobs.51job.com/tianjin-xqq/99493120.html?s=01&t=0
仓库管理员,武汉鑫麟杰商贸有限公司,天津,和平区,和平区,117.2028137,39.12480884,,https://jobs.51job.com/tianjin-hpq/100757681.html?s=01&t=0
仓库管理员,唯品（天津）商贸有限公司,天津,河东区,河东区中粮大道祥云名苑1-1-4001,117.2292595,39.12970267,,https://jobs.51job.com/tianjin-hdq/91428438.html?s=01&t=0
仓库管理员,申克（天津）工业技术有限公司北京分公司,天津,西青区,天津市西青开发区赛达工业园18号,117.2566636,38.98719681,,https://jobs.51job.com/tianjin-xqq/99630876.html?s=01&t=0
仓库管理员,武汉晟宇鑫航电子商务有限公司,天津,滨海新区,天津-滨海新区,117.6462863,39.05917664,,https://jobs.51job.com/tianjin-bhxq/101134255.html?s=01&t=0
仓库管理员,天津信和天成科技有限公司,天津,西青区,天津-西青区,117.1262013,39.03506461,,https://jobs.51job.com/tianjin-xqq/100997666.html?s=01&t=0
仓库管理员,武汉金淳久久商贸有限公司,天津,东丽区,东丽区万新街道,117.3134643,39.1317986,,https://jobs.51job.com/tianjin-dlq/98042772.html?s=01&t=0
仓库管理员,天津市意利达家具有限公司,天津,北辰区,天津市北辰区双口工业园永保路19号,117.079948,39.24733911,,https://jobs.51job.com/tianjin-bcq/99546472.html?s=01&t=0
仓库管理员,弗玛仓储（太仓）有限公司,天津,西青区,杨柳青,116.9881923,39.16075396,4-5千/月,https://jobs.51job.com/tianjin-xqq/100727033.html?s=01&t=0
仓库管理员,天津东盛泰和电子有限公司,天津,河西区,天津市河西区越秀路68号银河大厦901-908室,117.2163665,39.09770966,,https://jobs.51job.com/tianjin-hxq/103349736.html?s=01&t=0
仓库管理员,天津市高仕电动车有限公司,天津,北辰区,天津市北辰区双口工业园永保路7号,117.0803776,39.24501629,,https://jobs.51job.com/tianjin-bcq/102975699.html?s=01&t=0
仓库管理员,天津国御互联科技有限公司,天津,河东区,河东区,117.2616932,39.12662568,,https://jobs.51job.com/tianjin-hdq/102403262.html?s=01&t=0
仓库管理员,天津百浩鑫生物科技有限公司,天津,红桥区,红桥区,117.1622168,39.17062133,,https://jobs.51job.com/tianjin-hqq/102404585.html?s=01&t=0
仓库管理员,天津光电惠高电子有限公司,天津,河西区,天津市河西区泰山路6号,117.2362199,39.09327672,,https://jobs.51job.com/tianjin-hxq/96760821.html?s=01&t=0
仓库管理员,武汉建中伟业科技有限公司,天津,河北区,河北区望海楼街道,117.2131672,39.16267588,,https://jobs.51job.com/tianjin-hbq/101429870.html?s=01&t=0
仓库管理员,弗玛仓储（太仓）有限公司,天津,,物流园,117.2108131,39.1439299,4.5-6千/月,https://jobs.51job.com/tianjin-wqq/103182888.html?s=01&t=0
仓库管理员,弗玛仓储（太仓）有限公司,天津,西青区,杨柳青,116.9881923,39.16075396,4-6千/月,https://jobs.51job.com/tianjin-xqq/103347367.html?s=01&t=0
仓库管理员,天津晨天自动化设备工程有限公司,天津,北辰区,北辰科技园景远路南,117.2092441,39.21937808,,https://jobs.51job.com/tianjin-bcq/80461803.html?s=01&t=0
叉车工,弗玛仓储（太仓）有限公司,天津,西青区,杨柳青,116.9881923,39.16075396,3-5.5千/月,https://jobs.51job.com/tianjin-xqq/89830153.html?s=01&t=0
调度员,弗玛仓储（太仓）有限公司,天津,西青区,杨柳青,116.9881923,39.16075396,3-4.5千/月,https://jobs.51job.com/tianjin-xqq/98907226.html?s=01&t=0
仓库管理员,天津市立和工贸有限公司,天津,滨海新区,天津市塘沽区港城大道东路中港城建材市场,117.6128789,39.1151492,,https://jobs.51job.com/tianjin-bhxq/92153488.html?s=01&t=0
仓库管理员,天津柯文实业股份有限公司,天津,西青区,西青区百川路42号,117.0971423,39.16994777,,https://jobs.51job.com/tianjin-xqq/103027561.html?s=01&t=0
仓库管理员,弗玛仓储（太仓）有限公司,天津,西青区,杨柳青,116.9881923,39.16075396,3-5千/月,https://jobs.51job.com/tianjin-xqq/94711164.html?s=01&t=0
仓库管理员,广州市吉中汽车装饰有限公司,天津,西青区,西青开发区赛达四支路7号,117.2558964,38.98883606,,https://jobs.51job.com/tianjin-xqq/102958791.html?s=01&t=0
仓库管理员,天津皓硕金属制品有限公司,天津,静海区,天津市静海区陈官屯镇陈大路18号,116.9252503,38.82677548,,https://jobs.51job.com/tianjin-jhq/98738709.html?s=01&t=0
仓库管理员,TNT China,天津,滨海新区,天津自贸区空港物流园第一大街50号汇力通物流园3号楼,117.3358713,39.14618878,,https://jobs.51job.com/tianjin/71793361.html?s=01&t=0
仓库管理员,天津食健科技发展有限公司,天津,河西区,河西区洞庭路美年广场4号楼,117.256064,39.07994078,,https://jobs.51job.com/tianjin-hxq/93382913.html?s=01&t=0
仓库管理员,天津市启悦饲料有限责任公司,天津,北辰区,北辰科技园华实道,117.2092441,39.21937808,,https://jobs.51job.com/tianjin-bcq/70865752.html?s=01&t=0
仓库管理员,孚宝渤化（天津）仓储有限公司,天津,,临港经济区清河道68号,117.7644174,38.95579532,4-6千/月,https://jobs.51job.com/tianjin-bhxq/102521629.html?s=01&t=0
仓库管理员,福科斯(天津)置地有限公司,天津,东丽区,天津空港经济区,117.3769356,39.16770537,2-3千/月,https://jobs.51job.com/tianjin-bhxq/85476285.html?s=01&t=0
仓库管理员,天津鑫茂科技投资集团有限公司,天津,南开区,南开区华苑科技园榕苑路1号鑫茂天财酒店,117.1257485,39.10401441,,https://jobs.51job.com/tianjin-nkq/102350965.html?s=01&t=0
仓库管理员,高博（天津）起重设备有限公司,天津,滨海新区,天津经济技术开发区十三大街58号,117.7499311,39.07733465,3-4.5千/月,https://jobs.51job.com/tianjin-bhxq/98462618.html?s=01&t=0
仓库管理员,四方华能电网控制系统有限公司,天津,东丽区,东丽经济开发区五经路帝达东谷国际8号楼2门2层,117.3808132,39.07977843,,https://jobs.51job.com/tianjin-dlq/101570830.html?s=01&t=0
仓库管理员,格里森齿轮科技（苏州）有限责任公司天津分公司,天津,,天津市经济开发区西区中南五街49号,117.2958194,39.7109062,3-4.5千/月,https://jobs.51job.com/tianjin-bhxq/70171924.html?s=01&t=0
仓库管理员,上海信茂国际货物运输代理有限公司,天津,和平区,天津市和平区南京路305号经济联合中心大厦17楼A033室,117.1876674,39.12583916,,https://jobs.51job.com/tianjin-hpq/97898471.html?s=01&t=0
仓库管理员,格里森齿轮科技（苏州）有限责任公司天津分公司,天津,,经济开发区西区,117.2958194,39.7109062,3-4.5千/月,https://jobs.51job.com/tianjin-dlq/97735957.html?s=01&t=0
仓库管理员,天津市万帆顺食品有限公司,天津,东丽区,天津市东丽区金钟街跃进路金旺道3号,117.3005459,39.20453044,,https://jobs.51job.com/tianjin-dlq/70266309.html?s=01&t=0
仓库管理员,谷山企业管理咨询（天津）有限公司,天津,,天津经济开发区汉沽现代产业区彩云东路58号,117.7165458,39.077118,8-10万/年,https://jobs.51job.com/tianjin-bhxq/102323902.html?s=01&t=0
仓库管理员,谷山企业管理咨询（天津）有限公司,天津,,天津经济开发区汉沽现代产业区彩云东路58号,117.7165458,39.077118,,https://jobs.51job.com/tianjin-bhxq/102754578.html?s=01&t=0
仓库管理员,电装（天津）车身零部件有限公司,天津,武清区,天津市武清区逸仙园翠溪道2号,117.0318769,39.41268024,,https://jobs.51job.com/tianjin-wqq/62423146.html?s=01&t=0
仓库主管,广东橙家科技有限公司,天津,,先锋路,117.3088578,39.09194446,6-9千/月,https://jobs.51job.com/tianjin-dlq/102402839.html?s=01&t=0
仓库管理员,天津生物制品有限公司,天津,西青区,天津市西青区慧谷工业园,117.1262013,39.03506461,,https://jobs.51job.com/tianjin/95635753.html?s=01&t=0
仓库管理员,天津市侨友天使教育信息咨询有限公司,天津,河东区,天津市河东区津塘路57号,117.2450888,39.12409233,,https://jobs.51job.com/tianjin-hdq/102865466.html?s=01&t=0
仓库管理员,浙江大学滨海产业技术研究院,天津,滨海新区,天津市滨海高新区高新六路39号,117.5177766,39.11388276,,https://jobs.51job.com/tianjin-bhxq/102650238.html?s=01&t=0
